cat, subCat, img, name, price, ratingScore, ratingCount, pricePerAmount
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/695536_1.jpg, Worek na gruz Big Bag 91 x 91 x 120 cm, 69.99 zł, 0, 0, 0
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/367385_1.jpg, Soudal Pianka montażowa pistoletowa Soudafoam Low Expansion 750 ml, 39.99 zł, 0, 0, 53.32 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/478236_1.jpg, Soudal Ściereczki czyszczące SWIPEX XXL 80 sztuk, 41.99 zł, 0, 0, 41.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/300055_1.jpg, Altrad Poland Betoniarka BWE-200KJ 200l korba, 4 699.00 zł, 0, 0, 4 699.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/339972_1.jpg, Soudal Flexifoam - pianka superelastyczna 750 ml, 39.99 zł, 0, 0, 53, 32 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/696159_1.jpg, Soudal Piana ognioochronna Soudafoam 750 ml, 129.00 zł, 0, 0, 172.00 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/118250_2.jpg, Krause Rusztowanie bazowe Clim Tec, 1 799.00 zł, 0, 0, 1 799.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/252703_1.jpg, Unicell Sito 115 cm x 70 cm x 8 mm z podporą, 199.00 zł, 0, 0, 199.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/580590_1.jpg, Soudal Pianka Comfort Genius Gun montażowa 750 ml, 39.99 zł, 0, 0, 53.32 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/118253_1.jpg, Zestaw rolek jezdnych Krause ClimTec, 599.00 zł, 0, 0, 599.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/646954_1.jpg, Expert Line Piana pistoletowa ThermoFoam White 750 ml, 34.99 zł, 0, 0, 46.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/367383_1.jpg, Soudal Pianka montażowa wężykowa Soudafoam 2K 400 ml, 45.99 zł, 0, 0, 114.98 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/603438_1.jpg, Soudal Pianka montażowa pistoletowa Soudafoam 1K FR 750 ml, 129.00 zł, 0, 0, 172.00 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/281732_1.jpg, Piana pistoletowa 65 PVC EXPERT LINE Professional 840 ml, 39.99 zł, 0, 0, 47.61 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/285642_1.jpg, KRAUSE Pomost roboczy 2x6 CORDA, 799.00 zł, 0, 0, 799.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/512912_1.jpg, Bayersystem Drabina wielofunkcyjna BS-DW 3 x 11 szczebli, 749.00 zł / szt., 3, 3, 749.00 zł / opakowanie
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/158557_1.jpg, Soudal Pianka montażowa pistoletowa Soudafoam Classic 750 ml, 32.99 zł, 3.5, 2, 43.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/444264_1.jpg, Patrol Group Kastra budowlana prostokątna 40 l, 34.99 zł, 4.3, 6, 34.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/553457_1.jpg, CMI Pianka montażowa wężykowa zimowa 750 ml, 19.99 zł, 3, 1, 26.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/546987_1.jpg, CMI Pianka montażowa pistoletowa 750 ml, 24.99 zł, 2.7, 3, 33.32 zł / l
